Ticker,Shares,Buy rate ($/unit),Buy date
AMZN,0.2678,194.44,7/12/24
UPRO,2,83.62,7/12/24
LLY,0.21174,944.51,7/12/24
MU,2,133.35,7/12/24
SCHG,3,104.67,7/12/24
DELL,1.425131,140.34,7/11/24
AMZN,1.91132,198.82,7/10/24
SIRI,3.975535,3.27,7/8/24
DELL,1.999886,143.15,7/8/24
DELL,0.00503,143.14,7/8/24
SIRI,0.432061,3.28,7/8/24
SIRI,2.996951,3.28,7/8/24
HD,0.00048,338.84,7/8/24
HD,1,338.84,7/8/24
SCHG,0.463928,104.45,7/8/24
AMZN,2,200.65,7/8/24
VOO,0.001683,504.83,7/3/24
DELL,0.019699,142.14,7/2/24
UPRO,0.00032,78.32,7/2/24
UPRO,0.99968,78.35,7/2/24
NVDA,0.548092,122.54,7/2/24
NVDA,1,122.55,7/2/24
SCHG,1.536072,100.77,6/21/24
AMZN,1,187.56,6/21/24
FLIN,3,39.25,6/21/24
VOO,0.479,502.88,6/21/24
SIRI,2,2.90,6/20/24
FLIN,1,39.65,6/20/24
SMH,0.401599,269.82,6/20/24
FLIN,1,39.62,6/20/24
DELL,1,154.75,6/20/24
NVDA,0.0378,0.001,6/17/24
SMH,0.188401,265.40,6/14/24
NVDA,0.414095,120.75,6/11/24
AAPL,0.2442,204.75,6/11/24
GOOGL,0.285176,175.33,6/11/24
AAPL,0.0276,0.001,6/11/24
AMZN,1,193.95,7/15/24
M,3.346288,16.75,7/15/24